Nama Produk,Lemak total/Total Fat,Lemak Jenuh/Saturated Fat,Kolesterol (mg),Protein,Karbohidrat Total/Total Carbohydrate,Gula/Sugar,Garam (Natrium)Salt (Sodium) (mg),Energi Total/Total Energy (kkal/kcal),Energi dari Lemak/Energy from Fat,Energi dari Lemah Jenuh/Energy from Saturated Fat,Takaran Saji
ABC Kopi Susu,2.5,2.5,0,1,23,17,105,120,0,0,200
BearBrand,7,5,25,6,9,0,115,120,60,0,189
Benecol Lychee 100ml,,,,,,,,,,,
Cimory Bebas Laktosa 250ml,4,"2,5",2,4,7,5,65,80,35,20,125
Cimory Susu Coklat Cashew,0,4,0,6,32,20,130,220,0,0,250
Cimory Yogurt Strawberry,3.5,2,3,4,37,25,90,200,30,15,240
Cola-Cola 390ml,0,0,0,0,27,27,15,100,0,0,250
Fanta Strawberry 390ml,0,0,0,0,12,11,25,50,0,0,250
Floridina 350ml,0,0,0,0,22,21,25,90,0,0,175
Fruit Tea Freeze 350ml,0,0,0,0,15,15,60,60,0,0,250
Hydro Coco Original 250ml,0,0,0,0,15,7,105,60,0,0,250
Ichitan Thai Green Tea,5,5,4,2,21,14,140,130,45,45,250
Larutan Penyegar Rasa Jambu,,,,,,,,,,,
Mizone 500ml,0,0,0,0,8,8,65,35,0,0,250
NU Green Tea Yogurt,0,0,0,0,25,20,20,200,0,0,200
Nutri Boost Orange Flavour 250ml,2,1,7,1,26,22,126,120,15,0,250
Pepsi Blue 300ml,0,0,0,0,38,38,25,150,0,0,300
Pocari Sweat 500ml,0,0,0,0,30,28,120,120,0,0,500
Sprite 390ml,0,0,0,0,25,25,40,100,0,0,250
Tebs Sparkling 330ml,0,0,0,0,34,31,75,130,0,0,330
Teh Kotak 200ml,0,0,0,0,17,17,10,70,0,0,200
Teh Pucuk Harum,0,0,0,0,12,12,10,45,0,0,500
Tehbotol Sosro 250ml,0,0,0,0,15,15,25,60,0,0,200
Ultra Milk Coklat Ultrajaya 200ml,4,2.5,8,6,22,14,45,150,35,0,200
Ultramilk Fullcream 250ml,8,4,20,8,13,0,50,160,70,0,250
Yakult,"0,1","0,1",0,"0,8",11.5,11.2,10.1,210,0,0,65
You C 1000 Orange,0,0,0,0,20,20,60,80,0,0,140